sector,ECtoWSInc,FTEperTotalEmp
112,1.202612482,0.959276018
113,1.202612482,0.959276018
114,1.202612482,0.959276018
115,1.202612482,0.959276018
116,1.202612482,0.959276018
117,1.202612482,0.959276018
118,1.202612482,0.959276018
119,1.202612482,0.959276018
120,1.202612482,0.959276018
121,1.202612482,0.959276018
122,1.230362296,0.95620438
123,1.230362296,0.95620438
124,1.230362296,0.95620438
125,1.230362296,0.95620438
126,1.230362296,0.95620438
127,1.230362296,0.95620438
128,1.230362296,0.95620438
129,1.230362296,0.95620438
130,1.230362296,0.95620438
131,1.230362296,0.95620438
132,1.239907263,0.977886978
133,1.239907263,0.977886978
134,1.239907263,0.977886978
135,1.239907263,0.977886978
136,1.239907263,0.977886978
137,1.239907263,0.977886978
138,1.239907263,0.977886978
139,1.239907263,0.977886978
140,1.239907263,0.977886978
141,1.239907263,0.977886978
142,1.239907263,0.977886978
143,1.239907263,0.977886978
144,1.231093092,0.969863014
145,1.231093092,0.969863014
146,1.231093092,0.969863014
147,1.231093092,0.969863014
148,1.231093092,0.969863014
149,1.231093092,0.969863014
150,1.231093092,0.969863014
151,1.231093092,0.969863014
152,1.205873023,0.969411765
153,1.205873023,0.969411765
154,1.530569725,0.991150442
155,1.530569725,0.991150442
156,1.530569725,0.991150442
157,1.530569725,0.991150442
158,1.530569725,0.991150442
159,1.301013109,0.985882353
160,1.301013109,0.985882353
161,1.301013109,0.985882353
162,1.301013109,0.985882353
163,1.301013109,0.985882353
164,1.301013109,0.985882353
165,1.301013109,0.985882353
166,1.301013109,0.985882353
167,1.301013109,0.985882353
168,1.301013109,0.985882353
169,1.301013109,0.985882353
170,1.301013109,0.985882353
171,1.301013109,0.985882353
172,1.301013109,0.985882353
173,1.301013109,0.985882353
174,1.301013109,0.985882353
175,1.301013109,0.985882353
176,1.301013109,0.985882353
177,1.301013109,0.985882353
178,1.301013109,0.985882353
179,1.301013109,0.985882353
180,1.301013109,0.985882353
181,1.301013109,0.985882353
182,1.301013109,0.985882353
183,1.301013109,0.985882353
184,1.301013109,0.985882353
185,1.301013109,0.985882353
186,1.228475135,0.991792066
187,1.228475135,0.991792066
188,1.228475135,0.991792066
189,1.228475135,0.991792066
190,1.228475135,0.991792066
191,1.228475135,0.991792066
192,1.228475135,0.991792066
193,1.228475135,0.991792066
194,1.228475135,0.991792066
195,1.228475135,0.991792066
196,1.228475135,0.991792066
197,1.229292183,0.988009592
198,1.229292183,0.988009592
199,1.229292183,0.988009592
200,1.229292183,0.988009592
201,1.229292183,0.988009592
202,1.229292183,0.988009592
203,1.229292183,0.988009592
204,1.229292183,0.988009592
205,1.229292183,0.988009592
206,1.229292183,0.988009592
207,1.229292183,0.988009592
208,1.229292183,0.988009592
209,1.229292183,0.988009592
210,1.229292183,0.988009592
211,1.229292183,0.988009592
212,1.229292183,0.988009592
213,1.229292183,0.988009592
214,1.229292183,0.988009592
215,1.229520533,0.979328165
216,1.229520533,0.979328165
217,1.229520533,0.979328165
218,1.229520533,0.979328165
219,1.229520533,0.979328165
220,1.229520533,0.979328165
221,1.229520533,0.979328165
222,1.229520533,0.979328165
223,1.229520533,0.979328165
224,1.229520533,0.979328165
225,1.229520533,0.979328165
226,1.229520533,0.979328165
